key	source	name	k10	k25	k50	k100	k200	provenance
go:GO:0051694	go	pointed-end actin filament capping	5	12	25	50	95	
go:GO:0051703	go	biological process involved in intraspecies interaction between organisms	2	5	11	24	44	
go:GO:0051905	go	establishment of pigment granule localization	2	6	12	27	51	
go:GO:0051932	go	synaptic transmission, GABAergic	7	17	33	62	120	
go:GO:0051939	go	gamma-aminobutyric acid import	7	17	33	62	120	
go:GO:0051964	go	negative regulation of synapse assembly	7	17	34	65	124	
go:GO:0051988	go	regulation of attachment of spindle microtubules to kinetochore	7	18	35	67	129	
go:GO:0052547	go	regulation of peptidase activity	10	25	50	96	192	
go:GO:0055001	go	muscle cell development	6	15	30	59	116	
go:GO:0055006	go	cardiac cell development	6	16	31	60	117	
go:GO:0055007	go	cardiac muscle cell differentiation	6	16	32	61	118	
go:GO:0055022	go	negative regulation of cardiac muscle tissue growth	8	20	39	74	146	
go:GO:0055062	go	phosphate ion homeostasis	5	14	28	54	103	
go:GO:0055070	go	copper ion homeostasis	2	3	7	17	32	
go:GO:0055078	go	sodium ion homeostasis	2	4	8	19	35	
go:GO:0055095	go	lipoprotein particle mediated signaling	3	7	17	36	70	
go:GO:0055123	go	digestive system development	5	14	29	56	107	
go:GO:0060033	go	anatomical structure regression	5	14	29	57	109	
go:GO:0060039	go	pericardium development	6	16	31	60	117	
go:GO:0060055	go	angiogenesis involved in wound healing	5	12	24	48	91	
go:GO:0060070	go	canonical Wnt signaling pathway	10	22	44	86	170	
go:GO:0060081	go	membrane hyperpolarization	6	16	32	61	119	
go:GO:0060159	go	regulation of dopamine receptor signaling pathway	7	17	33	63	121	
go:GO:0060232	go	delamination	5	11	22	44	87	
go:GO:0060251	go	regulation of glial cell proliferation	7	17	34	66	126	
go:GO:0060296	go	regulation of cilium beat frequency involved in ciliary motility	7	19	37	72	139	
go:GO:0060307	go	regulation of ventricular cardiac muscle cell membrane repolarization	6	16	32	61	119	
go:GO:0060319	go	primitive erythrocyte differentiation	5	14	29	58	113	
go:GO:0060324	go	face development	5	14	29	57	108	
go:GO:0060326	go	cell chemotaxis	1	2	5	11	19	
go:GO:0060330	go	regulation of response to type II interferon	1	2	3	5	8	
go:GO:0060332	go	positive regulation of response to type II interferon	1	2	3	5	8	
go:GO:0060338	go	regulation of type I interferon-mediated signaling pathway	1	2	3	5	8	
go:GO:0060340	go	positive regulation of type I interferon-mediated signaling pathway	1	2	3	5	8	
go:GO:0060350	go	endochondral bone morphogenesis	5	14	28	54	101	
go:GO:0060354	go	negative regulation of cell adhesion molecule production	5	12	25	49	93	
go:GO:0060390	go	regulation of SMAD protein signal transduction	10	22	44	89	177	
go:GO:0060391	go	positive regulation of SMAD protein signal transduction	10	22	44	89	177	
go:GO:0060395	go	SMAD protein signal transduction	10	22	44	89	177	
go:GO:0060412	go	ventricular septum morphogenesis	6	16	31	60	117	
go:GO:0060444	go	branching involved in mammary gland duct morphogenesis	2	6	13	28	53	
go:GO:0060449	go	bud elongation involved in lung branching	5	14	29	56	105	
go:GO:0060452	go	positive regulation of cardiac muscle contraction	8	20	39	74	146	
go:GO:0060491	go	regulation of cell projection assembly	7	17	34	65	124	
go:GO:0060536	go	cartilage morphogenesis	5	14	28	54	101	
go:GO:0060537	go	muscle tissue development	6	15	30	59	116	
go:GO:0060539	go	diaphragm development	5	14	29	56	105	
go:GO:0060541	go	respiratory system development	5	14	29	56	105	
go:GO:0060575	go	intestinal epithelial cell differentiation	5	14	29	56	107	
go:GO:0060600	go	dichotomous subdivision of an epithelial terminal unit	5	11	23	45	88	
go:GO:0060623	go	regulation of chromosome condensation	7	18	35	67	129	
go:GO:0060664	go	epithelial cell proliferation involved in salivary gland morphogenesis	5	14	29	55	104	
go:GO:0060749	go	mammary gland alveolus development	2	6	13	28	53	
go:GO:0060765	go	regulation of androgen receptor signaling pathway	8	20	39	76	150	
go:GO:0060766	go	negative regulation of androgen receptor signaling pathway	8	20	39	76	150	
go:GO:0060837	go	blood vessel endothelial cell differentiation	5	12	26	52	98	
go:GO:0060872	go	semicircular canal development	7	19	37	71	138	
go:GO:0060896	go	neural plate pattern specification	7	17	34	66	127	
go:GO:0060907	go	positive regulation of macrophage cytokine production	1	2	5	11	20	
go:GO:0060921	go	sinoatrial node cell differentiation	6	16	32	61	118	
go:GO:0060931	go	sinoatrial node cell development	6	16	32	61	118	
go:GO:0060971	go	embryonic heart tube left/right pattern formation	6	16	31	60	117	
go:GO:0060977	go	coronary vasculature morphogenesis	5	12	26	52	98	
go:GO:0060993	go	kidney morphogenesis	5	13	27	53	100	
go:GO:0060999	go	positive regulation of dendritic spine development	7	17	34	65	124	
go:GO:0061005	go	cell differentiation involved in kidney development	5	13	27	53	100	
go:GO:0061009	go	common bile duct development	3	7	15	33	60	
go:GO:0061029	go	eyelid development in camera-type eye	2	6	12	27	50	
go:GO:0061044	go	negative regulation of vascular wound healing	5	12	24	48	91	
go:GO:0061061	go	muscle structure development	6	15	30	59	116	
go:GO:0061082	go	myeloid leukocyte cytokine production	1	2	5	11	20	
go:GO:0061098	go	positive regulation of protein tyrosine kinase activity	10	22	44	87	174	
go:GO:0061099	go	negative regulation of protein tyrosine kinase activity	8	20	38	73	143	
go:GO:0061337	go	cardiac conduction	6	16	32	61	119	
go:GO:0061339	go	establishment or maintenance of monopolar cell polarity	5	11	23	45	88	
go:GO:0061355	go	Wnt protein secretion	7	19	36	70	136	
go:GO:0061387	go	regulation of extent of cell growth	7	17	34	65	124	
go:GO:0061484	go	hematopoietic stem cell homeostasis	10	22	44	89	176	
go:GO:0061525	go	hindgut development	5	14	29	56	107	
go:GO:0061668	go	mitochondrial ribosome assembly	10	23	46	91	181	
go:GO:0061684	go	chaperone-mediated autophagy	10	25	49	95	190	
go:GO:0061687	go	detoxification of inorganic compound	2	3	7	17	32	
go:GO:0061709	go	reticulophagy	10	25	50	98	195	
go:GO:0061724	go	lipophagy	3	7	14	32	57	
go:GO:0061734	go	type 2 mitophagy	10	25	49	95	189	
go:GO:0061763	go	multivesicular body-lysosome fusion	7	19	36	70	137	
go:GO:0061842	go	microtubule organizing center localization	7	18	35	67	130	
go:GO:0061844	go	antimicrobial humoral immune response mediated by antimicrobial peptide	1	2	4	8	13	
go:GO:0062125	go	regulation of mitochondrial gene expression	10	23	46	91	180	
go:GO:0062149	go	obsolete detection of stimulus involved in sensory perception of pain	2	5	10	22	42	
go:GO:0062197	go	cellular response to chemical stress	2	4	9	21	40	
go:GO:0070071	go	proton-transporting two-sector ATPase complex assembly	10	23	46	91	181	
go:GO:0070127	go	tRNA aminoacylation for mitochondrial protein translation	9	21	42	82	162	
go:GO:0070129	go	regulation of mitochondrial translation	10	23	46	91	180	
go:GO:0070131	go	positive regulation of mitochondrial translation	10	23	46	91	180	
go:GO:0070170	go	regulation of tooth mineralization	5	14	28	54	102	
go:GO:0070197	go	meiotic attachment of telomere to nuclear envelope	7	18	35	69	135	
go:GO:0070200	go	establishment of protein localization to telomere	7	18	35	69	135	
go:GO:0070213	go	protein auto-ADP-ribosylation	10	24	47	93	186	
go:GO:0070235	go	regulation of activation-induced cell death of T cells	1	1	2	4	6	
go:GO:0070254	go	mucus secretion	5	14	29	55	104	
go:GO:0070278	go	extracellular matrix constituent secretion	5	14	29	55	104	
go:GO:0070291	go	N-acylethanolamine metabolic process	3	7	16	35	65	
go:GO:0070296	go	sarcoplasmic reticulum calcium ion transport	10	24	47	92	182	
go:GO:0070306	go	lens fiber cell differentiation	2	6	12	27	50	
go:GO:0070307	go	lens fiber cell development	2	6	12	27	50	
go:GO:0070424	go	regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway	1	2	3	7	10	
go:GO:0070427	go	nucleotide-binding oligomerization domain containing 1 signaling pathway	1	2	3	7	10	
go:GO:0070493	go	thrombin-activated receptor signaling pathway	5	12	24	48	92	
go:GO:0070525	go	obsolete tRNA threonylcarbamoyladenosine metabolic process	9	21	42	82	162	
go:GO:0070562	go	regulation of vitamin D receptor signaling pathway	5	14	28	54	103	
go:GO:0070601	go	centromeric sister chromatid cohesion	7	18	35	67	128	
go:GO:0070729	go	cyclic nucleotide transport	10	24	47	93	184	
go:GO:0070741	go	response to interleukin-6	1	2	3	7	11	
go:GO:0070936	go	protein K48-linked ubiquitination	10	25	50	100	199	
go:GO:0070945	go	neutrophil-mediated killing of gram-negative bacterium	1	2	4	8	14	
go:GO:0071073	go	positive regulation of phospholipid biosynthetic process	3	7	17	36	70	
go:GO:0071169	go	establishment of protein localization to chromatin	7	18	35	67	130	
go:GO:0071287	go	cellular response to manganese ion	10	23	46	91	181	
go:GO:0071320	go	cellular response to cAMP	10	24	47	93	184	
go:GO:0071371	go	cellular response to gonadotropin stimulus	2	5	11	26	48	
go:GO:0071372	go	cellular response to follicle-stimulating hormone stimulus	2	5	11	26	48	
go:GO:0071375	go	cellular response to peptide hormone stimulus	2	5	11	26	49	
go:GO:0071380	go	cellular response to prostaglandin E stimulus	3	7	17	36	66	
go:GO:0071393	go	cellular response to progesterone stimulus	2	5	11	26	48	
go:GO:0071396	go	cellular response to lipid	3	7	17	36	70	
go:GO:0071402	go	cellular response to lipoprotein particle stimulus	3	7	17	36	70	
go:GO:0071453	go	cellular response to oxygen levels	2	4	9	21	40	
go:GO:0071467	go	cellular response to pH	2	4	8	19	37	
go:GO:0071474	go	cellular hyperosmotic response	2	4	8	19	37	
go:GO:0071495	go	cellular response to endogenous stimulus	1	2	4	8	12	
go:GO:0071514	go	genomic imprinting	2	6	13	30	55	
go:GO:0071529	go	cementum mineralization	5	14	28	54	102	
go:GO:0071585	go	detoxification of cadmium ion	2	3	7	17	32	
go:GO:0071605	go	monocyte chemotactic protein-1 production	1	2	5	11	20	
go:GO:0071624	go	positive regulation of granulocyte chemotaxis	1	2	5	11	19	
go:GO:0071639	go	positive regulation of monocyte chemotactic protein-1 production	1	2	5	11	20	
go:GO:0071672	go	negative regulation of smooth muscle cell chemotaxis	8	20	39	74	145	
go:GO:0071677	go	positive regulation of mononuclear cell migration	1	2	5	11	19	
go:GO:0071692	go	protein localization to extracellular region	10	25	50	97	193	
go:GO:0071694	go	maintenance of protein location in extracellular region	10	25	50	97	193	
go:GO:0071695	go	anatomical structure maturation	5	14	29	57	109	
go:GO:0071787	go	endoplasmic reticulum tubular network formation	10	25	50	98	195	
go:GO:0071830	go	triglyceride-rich lipoprotein particle clearance	3	7	14	31	56	
go:GO:0071863	go	regulation of cell proliferation in bone marrow	10	22	44	89	176	
go:GO:0071880	go	adenylate cyclase-activating adrenergic receptor signaling pathway	10	24	47	93	184	
go:GO:0071887	go	leukocyte apoptotic process	1	2	5	9	15	
go:GO:0071888	go	macrophage apoptotic process	1	2	5	11	20	
go:GO:0071900	go	regulation of protein serine/threonine kinase activity	10	25	50	96	192	
go:GO:0071901	go	negative regulation of protein serine/threonine kinase activity	8	20	38	73	143	
go:GO:0071907	go	determination of digestive tract left/right asymmetry	5	14	29	56	107	
go:GO:0071985	go	multivesicular body sorting pathway	7	19	36	70	137	
go:GO:0072006	go	nephron development	5	13	27	53	100	
go:GO:0072007	go	mesangial cell differentiation	5	13	27	53	99	
go:GO:0072017	go	distal tubule development	5	13	27	53	100	
go:GO:0072025	go	distal convoluted tubule development	5	13	27	53	100	
go:GO:0072044	go	collecting duct development	5	13	27	53	100	
go:GO:0072047	go	proximal/distal pattern formation involved in nephron development	5	13	27	53	100	
go:GO:0072103	go	glomerulus vasculature morphogenesis	5	13	27	53	99	
go:GO:0072126	go	positive regulation of glomerular mesangial cell proliferation	5	13	27	53	99	
go:GO:0072144	go	glomerular mesangial cell development	5	13	27	53	99	
go:GO:0072173	go	metanephric tubule morphogenesis	5	13	27	53	100	
go:GO:0072179	go	nephric duct formation	5	13	27	53	100	
go:GO:0072189	go	ureter development	5	13	27	53	100	
go:GO:0072202	go	obsolete cell differentiation involved in metanephros development	5	13	27	53	100	
go:GO:0072205	go	metanephric collecting duct development	5	13	27	53	100	
go:GO:0072243	go	metanephric nephron epithelium development	5	13	27	53	100	
go:GO:0072319	go	vesicle uncoating	7	19	36	70	137	
go:GO:0072332	go	intrinsic apoptotic signaling pathway by p53 class mediator	10	22	43	83	166	
go:GO:0072344	go	rescue of stalled cytosolic ribosome	9	21	42	82	165	
go:GO:0072350	go	tricarboxylic acid metabolic process	3	7	16	35	65	
go:GO:0072359	go	circulatory system development	6	16	31	60	117	
go:GO:0072384	go	organelle transport along microtubule	7	19	37	72	141	
go:GO:0072526	go	pyridine-containing compound catabolic process	2	3	6	12	21	
go:GO:0072538	go	T-helper 17 type immune response	1	1	2	4	6	
go:GO:0072584	go	caveolin-mediated endocytosis	10	25	50	98	196	
go:GO:0072666	go	establishment of protein localization to vacuole	10	25	50	98	196	
go:GO:0072673	go	lamellipodium morphogenesis	5	12	25	50	96	
go:GO:0072675	go	osteoclast fusion	5	14	28	54	101	
go:GO:0075525	go	viral translational termination-reinitiation	9	21	40	78	153	
go:GO:0080135	go	regulation of cellular response to stress	2	4	9	21	39	
go:GO:0080171	go	lytic vacuole organization	10	25	50	98	196	
go:GO:0086066	go	atrial cardiac muscle cell to AV node cell communication	6	16	32	61	118	
go:GO:0086067	go	AV node cell to bundle of His cell communication	6	16	32	61	118	
go:GO:0086069	go	bundle of His cell to Purkinje myocyte communication	6	16	32	61	118	
go:GO:0086091	go	regulation of heart rate by cardiac conduction	6	16	32	61	119	
go:GO:0090063	go	positive regulation of microtubule nucleation	7	18	35	67	129	
go:GO:0090077	go	foam cell differentiation	3	7	17	36	70	
go:GO:0090158	go	endoplasmic reticulum membrane organization	10	25	50	98	195	
go:GO:0090181	go	regulation of cholesterol metabolic process	3	7	15	33	59	
go:GO:0090192	go	regulation of glomerulus development	5	13	27	53	100	
go:GO:0090208	go	positive regulation of triglyceride metabolic process	3	7	15	34	62	
go:GO:0090235	go	regulation of metaphase plate congression	7	18	35	67	129	
go:GO:0090245	go	axis elongation involved in somitogenesis	5	14	29	57	111	
go:GO:0090258	go	negative regulation of mitochondrial fission	8	20	38	73	143	
go:GO:0090279	go	regulation of calcium ion import	10	24	47	92	182	
go:GO:0090289	go	regulation of osteoclast proliferation	5	14	28	54	103	
go:GO:0090322	go	regulation of superoxide metabolic process	2	3	7	16	31	
go:GO:0090394	go	negative regulation of excitatory postsynaptic potential	7	17	33	63	121	
go:GO:0090398	go	cellular senescence	7	18	35	69	133	
go:GO:0090402	go	oncogene-induced cell senescence	7	18	35	69	133	
go:GO:0090493	go	catecholamine uptake	2	3	7	14	24	
go:GO:0090521	go	podocyte cell migration	5	13	27	53	99	
go:GO:0090592	go	DNA synthesis involved in DNA replication	9	21	41	79	154	
go:GO:0090630	go	activation of GTPase activity	10	25	48	94	188	
go:GO:0090659	go	walking behavior	2	5	11	24	44	
go:GO:0090716	go	adaptive immune memory response	1	1	2	4	7	
go:GO:0097006	go	regulation of plasma lipoprotein particle levels	3	7	14	31	56	
go:GO:0097066	go	response to thyroid hormone	2	5	11	26	47	
go:GO:0097067	go	cellular response to thyroid hormone stimulus	2	5	11	26	47	
go:GO:0097106	go	postsynaptic density organization	7	17	33	64	123	
go:GO:0097112	go	gamma-aminobutyric acid receptor clustering	7	17	33	64	122	
go:GO:0097114	go	NMDA glutamate receptor clustering	7	17	33	64	122	
go:GO:0097150	go	neuronal stem cell population maintenance	7	17	34	66	126	
go:GO:0097186	go	amelogenesis	5	14	28	54	102	
go:GO:0097190	go	apoptotic signaling pathway	10	22	43	84	168	
go:GO:0097193	go	intrinsic apoptotic signaling pathway	10	22	43	84	167	
go:GO:0097267	go	omega-hydroxylase P450 pathway	2	3	7	16	31	
go:GO:0097468	go	programmed cell death in response to reactive oxygen species	8	20	38	73	144	
go:GO:0097646	go	calcitonin family receptor signaling pathway	10	24	47	93	183	
go:GO:0097680	go	double-strand break repair via classical nonhomologous end joining	9	21	41	80	156	
go:GO:0097696	go	cell surface receptor signaling pathway via STAT	10	22	44	89	177	
go:GO:0097699	go	vascular endothelial cell response to fluid shear stress	2	4	9	20	38	
go:GO:0097702	go	response to oscillatory fluid shear stress	2	4	9	20	38	
go:GO:0097707	go	ferroptosis	2	3	7	17	33	
go:GO:0097720	go	calcineurin-mediated signaling	10	24	47	92	182	
go:GO:0098535	go	de novo centriole assembly involved in multi-ciliated epithelial cell differentiation	7	19	37	72	139	
go:GO:0098609	go	cell-cell adhesion	5	11	23	46	89	
go:GO:0098698	go	postsynaptic specialization assembly	7	17	33	64	123	
go:GO:0098771	go	inorganic ion homeostasis	2	4	8	19	35	
go:GO:0098773	go	skin epidermis development	5	11	22	44	87	
go:GO:0098780	go	response to mitochondrial depolarisation	6	16	32	61	119	
go:GO:0098856	go	intestinal lipid absorption	4	9	19	39	77	
go:GO:0098869	go	cellular oxidant detoxification	2	3	7	16	31	
go:GO:0098880	go	maintenance of postsynaptic specialization structure	7	17	33	64	123	
go:GO:0098901	go	regulation of cardiac muscle cell action potential	6	16	32	61	119	
go:GO:0098909	go	regulation of cardiac muscle cell action potential involved in regulation of contraction	6	16	32	61	119	
go:GO:0098953	go	receptor diffusion trapping	7	17	33	63	121	
go:GO:0098971	go	anterograde dendritic transport of neurotransmitter receptor complex	7	17	33	64	123	
go:GO:0098974	go	postsynaptic actin cytoskeleton organization	7	17	33	64	123	
go:GO:0098990	go	AMPA selective glutamate receptor signaling pathway	7	17	33	64	122	
go:GO:0099003	go	vesicle-mediated transport in synapse	7	17	33	64	123	
go:GO:0099171	go	presynaptic modulation of chemical synaptic transmission	7	17	33	63	121	
go:GO:0099175	go	regulation of postsynapse organization	7	17	33	64	123	
go:GO:0099177	go	regulation of trans-synaptic signaling	7	17	33	63	121	
go:GO:0099514	go	synaptic vesicle cytoskeletal transport	7	17	33	64	123	
go:GO:0099518	go	vesicle cytoskeletal trafficking	7	19	37	72	141	
go:GO:0099587	go	inorganic ion import across plasma membrane	2	4	8	19	35	
go:GO:0099612	go	protein localization to axon	10	25	50	97	193	
go:GO:0099623	go	regulation of cardiac muscle cell membrane repolarization	6	16	32	61	119	
go:GO:0101024	go	mitotic nuclear membrane organization	7	18	35	68	132	
go:GO:0106001	go	intestinal hexose absorption	4	9	19	39	77	
go:GO:0106057	go	negative regulation of calcineurin-mediated signaling	10	24	47	92	182	
go:GO:0110010	go	basolateral protein secretion	5	14	29	55	104	
go:GO:0110053	go	regulation of actin filament organization	5	12	25	50	95	
go:GO:0110076	go	negative regulation of ferroptosis	2	3	7	17	33	
go:GO:0110088	go	hippocampal neuron apoptotic process	7	17	34	66	126	
go:GO:0110154	go	RNA decapping	9	21	42	81	158	
go:GO:0120093	go	regulation of peptidyl-lysine crotonylation	7	18	35	67	129	
go:GO:0120182	go	regulation of focal adhesion disassembly	5	12	25	49	93	
go:GO:0120188	go	regulation of bile acid secretion	3	7	15	33	60	
go:GO:0120262	go	negative regulation of heterochromatin organization	8	20	38	73	143	
go:GO:0140009	go	L-aspartate import across plasma membrane	4	9	19	40	78	
go:GO:0140042	go	lipid droplet formation	3	7	14	32	58	
go:GO:0140112	go	extracellular vesicle biogenesis	7	19	36	70	137	
go:GO:0140238	go	presynaptic endocytosis	7	17	33	64	123	
go:GO:0140352	go	export from cell	7	19	36	70	136	
go:GO:0140894	go	endolysosomal toll-like receptor signaling pathway	1	2	3	6	9	
go:GO:0140971	go	regulation of AIM2 inflammasome complex assembly	1	2	5	11	20	
go:GO:0141060	go	disruption of anatomical structure in another organism	1	2	4	8	14	
go:GO:0141156	go	cAMP/PKA signal transduction	10	24	47	93	186	
go:GO:0141214	go	positive regulation of phospholipase C/protein kinase C signal transduction	3	7	17	36	70	
go:GO:0150012	go	positive regulation of neuron projection arborization	7	17	34	65	124	
go:GO:0150079	go	negative regulation of neuroinflammatory response	1	1	2	3	4	
