source	strength	band	n	measure	auroc	cliffs_delta
reactome-siblings (fan-out<=6)	weak	0.05 < J <= 0.15	16	name-stripped	0.7724	0.5448
reactome-siblings (fan-out<=6)	weak	0.01 < J <= 0.05	11	name-stripped	0.8598	0.7195
reactome-siblings (fan-out<=6)	weak	exactly 0	27	name-stripped	0.9266	0.8533
reactome-siblings (fan-out<=6)	weak	0.15 < J <= 1	17	jaccard	0.7591	0.5182
reactome-siblings (fan-out<=6)	weak	0.05 < J <= 0.15	16	jaccard	0.6872	0.3745
reactome-siblings (fan-out<=6)	weak	0.01 < J <= 0.05	11	jaccard	0.8679	0.7357
reactome-siblings (fan-out<=6)	weak	exactly 0	27	jaccard	0.5000	0.0000
reactome-siblings (fan-out<=6)	weak	0.15 < J <= 1	17	ochiai	0.7421	0.4842
reactome-siblings (fan-out<=6)	weak	0.05 < J <= 0.15	16	ochiai	0.6702	0.3404
reactome-siblings (fan-out<=6)	weak	0.01 < J <= 0.05	11	ochiai	0.8285	0.6570
reactome-siblings (fan-out<=6)	weak	exactly 0	27	ochiai	0.5000	0.0000
reactome-siblings (fan-out<=6)	weak	0.15 < J <= 1	17	overlap	0.6055	0.2109
reactome-siblings (fan-out<=6)	weak	0.05 < J <= 0.15	16	overlap	0.6486	0.2973
reactome-siblings (fan-out<=6)	weak	0.01 < J <= 0.05	11	overlap	0.6834	0.3669
reactome-siblings (fan-out<=6)	weak	exactly 0	27	overlap	0.5000	0.0000
reactome-siblings (fan-out<=6)	weak	0.15 < J <= 1	17	kappa	0.7630	0.5260
reactome-siblings (fan-out<=6)	weak	0.05 < J <= 0.15	16	kappa	0.7189	0.4379
reactome-siblings (fan-out<=6)	weak	0.01 < J <= 0.05	11	kappa	0.8820	0.7641
reactome-siblings (fan-out<=6)	weak	exactly 0	27	kappa	0.5786	0.1571
go-siblings	weak	0.15 < J <= 1	73	descriptions	0.7402	0.4803
go-siblings	weak	0.05 < J <= 0.15	147	descriptions	0.7554	0.5108
go-siblings	weak	0.01 < J <= 0.05	335	descriptions	0.7556	0.5112
go-siblings	weak	0 < J <= 0.01	203	descriptions	0.7492	0.4985
go-siblings	weak	exactly 0	482	descriptions	0.8250	0.6500
go-siblings	weak	0.15 < J <= 1	73	name-stripped	0.7154	0.4307
go-siblings	weak	0.05 < J <= 0.15	147	name-stripped	0.6829	0.3657
go-siblings	weak	0.01 < J <= 0.05	335	name-stripped	0.6856	0.3712
go-siblings	weak	0 < J <= 0.01	203	name-stripped	0.6526	0.3052
go-siblings	weak	exactly 0	482	name-stripped	0.7363	0.4726
