key	source	name	k10	k25	k50	k100	k200	provenance
go:GO:0098780	go	response to mitochondrial depolarisation	6	16	35	76	161	
go:GO:0098856	go	intestinal lipid absorption	2	4	6	9	17	
go:GO:0098869	go	cellular oxidant detoxification	6	16	34	73	149	
go:GO:0098880	go	maintenance of postsynaptic specialization structure	6	17	40	85	178	
go:GO:0098901	go	regulation of cardiac muscle cell action potential	6	15	27	44	87	
go:GO:0098909	go	regulation of cardiac muscle cell action potential involved in regulation of contraction	6	15	27	44	87	
go:GO:0098953	go	receptor diffusion trapping	6	17	40	85	178	
go:GO:0098971	go	anterograde dendritic transport of neurotransmitter receptor complex	6	17	40	85	178	
go:GO:0098974	go	postsynaptic actin cytoskeleton organization	6	17	40	85	178	
go:GO:0098990	go	AMPA selective glutamate receptor signaling pathway	6	17	40	85	178	
go:GO:0099003	go	vesicle-mediated transport in synapse	6	17	40	85	177	
go:GO:0099171	go	presynaptic modulation of chemical synaptic transmission	6	17	40	85	178	
go:GO:0099175	go	regulation of postsynapse organization	6	17	40	85	178	
go:GO:0099177	go	regulation of trans-synaptic signaling	6	17	40	85	178	
go:GO:0099514	go	synaptic vesicle cytoskeletal transport	6	17	40	85	177	
go:GO:0099518	go	vesicle cytoskeletal trafficking	6	16	31	52	106	
go:GO:0099587	go	inorganic ion import across plasma membrane	6	20	44	91	190	
go:GO:0099612	go	protein localization to axon	6	17	40	85	180	
go:GO:0099623	go	regulation of cardiac muscle cell membrane repolarization	6	15	27	44	87	
go:GO:0101024	go	mitotic nuclear membrane organization	6	16	33	61	126	
go:GO:0106001	go	intestinal hexose absorption	2	4	6	9	17	
go:GO:0106057	go	negative regulation of calcineurin-mediated signaling	6	15	27	44	88	
go:GO:0110010	go	basolateral protein secretion	6	16	29	47	93	
go:GO:0110053	go	regulation of actin filament organization	6	15	27	45	90	
go:GO:0110076	go	negative regulation of ferroptosis	6	19	42	87	183	
go:GO:0110088	go	hippocampal neuron apoptotic process	6	17	40	84	174	
go:GO:0110154	go	RNA decapping	6	16	33	68	139	
go:GO:0120093	go	regulation of peptidyl-lysine crotonylation	6	16	33	69	144	
go:GO:0120182	go	regulation of focal adhesion disassembly	6	14	23	37	69	
go:GO:0120188	go	regulation of bile acid secretion	2	4	7	10	19	
go:GO:0120262	go	negative regulation of heterochromatin organization	6	15	26	43	85	
go:GO:0140009	go	L-aspartate import across plasma membrane	2	4	6	9	18	
go:GO:0140042	go	lipid droplet formation	2	4	7	10	20	
go:GO:0140112	go	extracellular vesicle biogenesis	6	16	31	52	106	
go:GO:0140238	go	presynaptic endocytosis	6	17	40	85	177	
go:GO:0140352	go	export from cell	6	16	31	52	106	
go:GO:0140894	go	endolysosomal toll-like receptor signaling pathway	6	10	15	24	48	
go:GO:0140971	go	regulation of AIM2 inflammasome complex assembly	6	10	15	24	48	
go:GO:0141060	go	disruption of anatomical structure in another organism	6	10	17	27	53	
go:GO:0141156	go	cAMP/PKA signal transduction	6	16	32	55	114	
go:GO:0141214	go	positive regulation of phospholipase C/protein kinase C signal transduction	6	16	32	55	112	
go:GO:0150012	go	positive regulation of neuron projection arborization	6	17	40	84	174	
go:GO:0150079	go	negative regulation of neuroinflammatory response	6	10	15	24	46	
go:GO:0150116	go	regulation of cell-substrate junction organization	6	14	23	37	69	
go:GO:0170041	go	non-proteinogenic amino acid metabolic process	6	16	35	74	150	
go:GO:0170043	go	non-proteinogenic amino acid biosynthetic process	6	16	35	74	150	
go:GO:0170062	go	nutrient storage	2	4	7	10	20	
go:GO:0180059	go	protein O-linked glycosylation via glucose	2	2	3	3	4	
go:GO:1900029	go	positive regulation of ruffle assembly	6	16	31	49	98	
go:GO:1900103	go	positive regulation of endoplasmic reticulum unfolded protein response	6	16	33	64	133	
go:GO:1900118	go	negative regulation of execution phase of apoptosis	6	15	26	43	85	
go:GO:1900222	go	negative regulation of amyloid-beta clearance	6	15	26	43	83	
go:GO:1900239	go	regulation of phenotypic switching	6	15	27	45	89	
go:GO:1900246	go	positive regulation of RIG-I signaling pathway	6	16	33	69	142	
go:GO:1901072	go	glucosamine-containing compound catabolic process	6	16	35	74	152	
go:GO:1901078	go	negative regulation of relaxation of muscle	6	15	26	43	86	
go:GO:1901096	go	regulation of autophagosome maturation	6	16	31	52	109	
go:GO:1901098	go	positive regulation of autophagosome maturation	6	16	31	52	109	
go:GO:1901224	go	positive regulation of non-canonical NF-kappaB signal transduction	6	10	15	24	48	
go:GO:1901329	go	regulation of odontoblast differentiation	6	13	22	36	65	
go:GO:1901334	go	lactone metabolic process	2	4	7	11	26	
go:GO:1901502	go	ether catabolic process	2	4	7	11	24	
go:GO:1901503	go	ether biosynthetic process	2	4	7	11	24	
go:GO:1901568	go	fatty acid derivative metabolic process	2	4	7	11	26	
go:GO:1901623	go	regulation of lymphocyte chemotaxis	6	10	15	24	48	
