source	original_symbol	outcome	hgnc_id	approved_symbol	match_type	snapshot	carried_forward	note
btm	BOLA2	approved	HGNC:29488	BOLA2	approved	2013-10	no	multi-mapping component 1 of 2 in "BOLA2 /// BOLA2B"
btm	BOLA2B	approved	HGNC:32479	BOLA2B	approved	2013-10	no	multi-mapping component 2 of 2 in "BOLA2 /// BOLA2B"
btm	C10orf10	approved	HGNC:23355	DEPP1	approved	2013-10	no	-
btm	C10orf140	previous	HGNC:32697	SKIDA1	previous	2013-10	no	-
btm	C10orf54	approved	HGNC:30085	VSIR	approved	2013-10	no	-
btm	C11orf2	previous	HGNC:1172	VPS51	previous	2013-10	no	-
btm	C11orf63	approved	HGNC:26288	JHY	approved	2013-10	no	-
btm	C11orf73	approved	HGNC:26938	HIKESHI	approved	2013-10	no	-
btm	C11orf75	previous	HGNC:24810	SMCO4	previous	2013-10	no	-
btm	C11orf82	approved	HGNC:26351	DDIAS	approved	2013-10	no	-
btm	C11orf87	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	C12orf10	approved	HGNC:17590	MYG1	approved	2013-10	no	-
btm	C12orf23	approved	HGNC:28281	TMEM263	approved	2013-10	no	-
btm	C12orf29	approved	HGNC:25322	RLIG1	approved	2013-10	no	-
btm	C12orf48	previous	HGNC:26074	PARPBP	previous	2013-10	no	-
btm	C13orf18	approved	HGNC:20420	RUBCNL	approved	2013-10	no	era placement approximate: only the most recent rename is dated, and HGNC:20420 has several previous symbols (C13orf18, KIAA0226L)
btm	C13orf34	previous	HGNC:24724	BORA	previous	2013-10	no	-
btm	C14orf105	approved	HGNC:20189	CCDC198	approved	2013-10	no	-
btm	C14orf126	previous	HGNC:20277	DTD2	previous	2013-10	no	-
btm	C14orf138	previous	HGNC:20352	VCPKMT	previous	2013-10	no	-
btm	C14orf82	previous	HGNC:20129	FRMD6-AS1	previous	2013-10	no	-
btm	C14orf91	withdrawn	-	-	-	2013-10	-	HGNC:20138 (C14orf91) withdrawn with no replacement
btm	C15orf23	previous	HGNC:30767	KNSTRN	previous	2013-10	no	-
btm	C15orf42	previous	HGNC:28704	TICRR	previous	2013-10	no	-
btm	C15orf48	approved	HGNC:29898	COXFA4L3	approved	2013-10	no	-
btm	C15orf5	previous	HGNC:1193	LINC00597	previous	2013-10	no	-
btm	C16orf75	previous	HGNC:28349	RMI2	previous	2013-10	no	-
btm	C17orf70	approved	HGNC:26171	FAAP100	approved	2013-10	no	-
btm	C17orf73	approved	HGNC:26080	ANKRD40CL	approved	2013-10	no	era placement approximate: only the most recent rename is dated, and HGNC:26080 has several previous symbols (C17orf73, LINC00483)
btm	C17orf80	approved	HGNC:29601	MTNAP1	approved	2013-10	no	-
btm	C19orf21	previous	HGNC:27000	MISP	previous	2013-10	no	-
btm	C19orf28	previous	HGNC:28299	MFSD12	previous	2013-10	no	-
btm	C19orf59	approved	HGNC:27291	MCEMP1	approved	2013-10	no	-
btm	C19orf77	approved	HGNC:37244	SMIM24	approved	2013-10	no	-
btm	C1orf112	approved	HGNC:25565	FIRRM	approved	2013-10	no	-
btm	C1orf114	previous	HGNC:28051	CCDC181	previous	2013-10	no	-
btm	C1orf86	approved	HGNC:26428	FAAP20	approved	2013-10	no	-
btm	C20orf94	previous	HGNC:16225	SLX4IP	previous	2013-10	no	-
btm	C21orf45	previous	HGNC:1286	MIS18A	previous	2013-10	no	-
btm	C21orf89	previous	HGNC:16425	LINC00334	previous	2013-10	no	-
btm	C2orf88	previous	HGNC:28191	AKAP19	previous	2013-10	no	-
btm	C2orf89	previous	HGNC:27013	TRABD2A	previous	2013-10	no	-
btm	C3orf1	previous	HGNC:1321	TIMMDC1	previous	2013-10	no	-
btm	C3orf58	approved	HGNC:28490	DIPK2A	approved	2013-10	no	-
btm	C4orf31	previous	HGNC:26256	NDNF	previous	2013-10	no	-
btm	C4orf34	previous	HGNC:27321	SMIM14	previous	2013-10	no	-
btm	C5orf13	previous	HGNC:16834	NREP	previous	2013-10	no	-
btm	C6orf129	previous	HGNC:21239	CCDC167	previous	2013-10	no	-
btm	C6orf192	previous	HGNC:21573	SLC18B1	previous	2013-10	no	-
btm	C6orf211	approved	HGNC:17872	DCPH1	approved	2013-10	no	era placement approximate: only the most recent rename is dated, and HGNC:17872 has several previous symbols (C6orf211, ARMT1)
btm	C8orf39	previous	HGNC:28818	RBM12B-AS1	previous	2013-10	no	-
btm	CASC4	approved	HGNC:24892	GOLM2	approved	2013-10	no	-
btm	CASC5	approved	HGNC:24054	KNL1	approved	2013-10	no	era placement approximate: only the most recent rename is dated, and HGNC:24054 has several previous symbols (MCPH4, CASC5)
btm	CCDC144C	previous	HGNC:29073	CCDC144CP	previous	2013-10	no	multi-mapping component 1 of 2 in "CCDC144C /// LOC100134159"
btm	CCDC90A	previous	HGNC:21097	MCUR1	previous	2013-10	no	-
btm	CCDC99	previous	HGNC:26010	SPDL1	previous	2013-10	no	-
btm	CCL14-CCL15	unmapped	-	-	-	2013-10	-	multi-mapping component 1 of 2 in "CCL14-CCL15 /// CCL15"; no match in snapshot 2013-10
btm	CCL15	approved	HGNC:10613	CCL15	approved	2013-10	no	multi-mapping component 2 of 2 in "CCL14-CCL15 /// CCL15"
btm	CCL3	approved	HGNC:10627	CCL3	approved	2013-10	no	multi-mapping component 1 of 3 in "CCL3 /// CCL3L1 /// CCL3L3"
btm	CCL3L1	approved	HGNC:10628	CCL3L1	approved	2013-10	no	multi-mapping component 2 of 3 in "CCL3 /// CCL3L1 /// CCL3L3"
btm	CCL3L3	approved	HGNC:30554	CCL3L3	approved	2013-10	no	multi-mapping component 3 of 3 in "CCL3 /// CCL3L1 /// CCL3L3"
btm	CD97	approved	HGNC:1711	ADGRE5	approved	2013-10	no	-
btm	CECR6	approved	HGNC:1844	TMEM121B	approved	2013-10	no	-
btm	CENPC1	previous	HGNC:1854	CENPC	previous	2013-10	no	-
btm	CES4	previous	HGNC:18546	CES1P1	previous	2013-10	no	-
btm	CKMT1A	approved	HGNC:31736	CKMT1A	approved	2013-10	no	multi-mapping component 1 of 2 in "CKMT1A /// CKMT1B"
btm	CKMT1B	approved	HGNC:1995	CKMT1B	approved	2013-10	no	multi-mapping component 2 of 2 in "CKMT1A /// CKMT1B"
btm	CSRP2BP	approved	HGNC:15904	KAT14	approved	2013-10	no	-
btm	CTGF	approved	HGNC:2500	CCN2	approved	2013-10	no	-
btm	CTPS	previous	HGNC:2519	CTPS1	previous	2013-10	no	-
btm	CTR9	approved	HGNC:16850	CTR9	approved	2013-10	no	multi-mapping component 2 of 2 in "ATG4C /// CTR9"
btm	CTSL1	previous	HGNC:2537	CTSL	previous	2013-10	no	-
btm	CTSL2	previous	HGNC:2538	CTSV	previous	2013-10	no	-
btm	CXorf50B	previous	HGNC:31964	FAM226B	previous	2013-10	no	-
btm	CYAT1	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	CYR61	approved	HGNC:2654	CCN1	approved	2013-10	no	era placement approximate: only the most recent rename is dated, and HGNC:2654 has several previous symbols (IGFBP10, CYR61)
btm	CYTSA	previous	HGNC:29022	SPECC1L	previous	2013-10	no	multi-mapping component 2 of 2 in "ADORA2A /// CYTSA"
btm	CYorf15A	approved	HGNC:18473	TXLNGY	approved	2013-10	no	era placement approximate: only the most recent rename is dated, and HGNC:18473 has several previous symbols (CYorf15A, CYorf15B, TXLNG2P)
btm	CYorf15B	approved	HGNC:18473	TXLNGY	approved	2013-10	no	era placement approximate: only the most recent rename is dated, and HGNC:18473 has several previous symbols (CYorf15A, CYorf15B, TXLNG2P)
btm	DBC1	previous	HGNC:2687	BRINP1	previous	2013-10	no	-
btm	DDX58	approved	HGNC:19102	RIGI	approved	2013-10	no	-
btm	DES	approved	HGNC:2770	DES	approved	2013-10	no	multi-mapping component 1 of 2 in "DES /// FAM48A"
btm	DIRC2	approved	HGNC:16628	SLC49A4	approved	2013-10	no	-
btm	DKFZp451A211	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	DKFZp779M0652	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	EEF1G	approved	HGNC:3213	EEF1G	approved	2013-10	no	multi-mapping component 1 of 2 in "EEF1G /// TUT1"
btm	EFHA1	previous	HGNC:31830	MICU2	previous	2013-10	no	-
btm	ELTD1	approved	HGNC:20822	ADGRL4	approved	2013-10	no	-
btm	EMR1	approved	HGNC:3336	ADGRE1	approved	2013-10	no	era placement approximate: only the most recent rename is dated, and HGNC:3336 has several previous symbols (TM7LN3, EMR1)
btm	EMR2	approved	HGNC:3337	ADGRE2	approved	2013-10	no	-
btm	EMR3	approved	HGNC:23647	ADGRE3	approved	2013-10	no	-
btm	ERBB2IP	approved	HGNC:15842	ERBIN	approved	2013-10	no	-
btm	FAIM3	approved	HGNC:14315	FCMR	approved	2013-10	no	-
btm	FAM105A	approved	HGNC:25629	OTULINL	approved	2013-10	no	-
btm	FAM108A1	previous	HGNC:28756	ABHD17A	previous	2013-10	no	-
btm	FAM123A	previous	HGNC:26360	AMER2	previous	2013-10	no	-
btm	FAM129A	approved	HGNC:16784	NIBAN1	approved	2013-10	no	era placement approximate: only the most recent rename is dated, and HGNC:16784 has several previous symbols (C1orf24, FAM129A)
btm	FAM129C	approved	HGNC:24130	NIBAN3	approved	2013-10	no	-
btm	FAM150B	approved	HGNC:27683	ALKAL2	approved	2013-10	no	-
btm	FAM18B	previous	HGNC:20399	TVP23B	previous	2013-10	no	-
btm	FAM196A	approved	HGNC:33859	INSYN2A	approved	2013-10	no	era placement approximate: only the most recent rename is dated, and HGNC:33859 has several previous symbols (C10orf141, FAM196A, INSYN2)
btm	FAM198B	approved	HGNC:25312	GASK1B	approved	2013-10	no	era placement approximate: only the most recent rename is dated, and HGNC:25312 has several previous symbols (C4orf18, FAM198B)
btm	FAM26F	approved	HGNC:33391	CALHM6	approved	2013-10	no	era placement approximate: only the most recent rename is dated, and HGNC:33391 has several previous symbols (C6orf187, FAM26F)
btm	FAM30A	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	FAM35A	approved	HGNC:28773	SHLD2	approved	2013-10	no	-
btm	FAM46A	approved	HGNC:18345	TENT5A	approved	2013-10	no	era placement approximate: only the most recent rename is dated, and HGNC:18345 has several previous symbols (C6orf37, FAM46A)
btm	FAM48A	previous	HGNC:20596	SUPT20H	previous	2013-10	no	multi-mapping component 2 of 2 in "DES /// FAM48A"
btm	FAM49A	approved	HGNC:25373	CYRIA	approved	2013-10	no	-
btm	FAM54A	previous	HGNC:21115	MTFR2	previous	2013-10	no	-
btm	FAM64A	approved	HGNC:25483	PIMREG	approved	2013-10	no	-
btm	FAM69B	approved	HGNC:28290	DIPK1B	approved	2013-10	no	-
btm	FAM70A	previous	HGNC:26086	TMEM255A	previous	2013-10	no	-
btm	FAM72A	approved	HGNC:24044	RUMY1	approved	2013-10	no	-
btm	FAM72A	approved	HGNC:24044	RUMY1	approved	2013-10	no	multi-mapping component 1 of 4 in "FAM72A /// FAM72B /// FAM72C /// FAM72D"
btm	FAM72B	approved	HGNC:24805	RUMY2	approved	2013-10	no	multi-mapping component 2 of 4 in "FAM72A /// FAM72B /// FAM72C /// FAM72D"
btm	FAM72C	approved	HGNC:30602	RUMY3	approved	2013-10	no	multi-mapping component 3 of 4 in "FAM72A /// FAM72B /// FAM72C /// FAM72D"
btm	FAM72D	approved	HGNC:33593	RUMY4	approved	2013-10	no	multi-mapping component 4 of 4 in "FAM72A /// FAM72B /// FAM72C /// FAM72D"
btm	FAM83D	approved	HGNC:16122	SACK1D	approved	2013-10	no	era placement approximate: only the most recent rename is dated, and HGNC:16122 has several previous symbols (C20orf129, FAM83D)
btm	FCGR1A	approved	HGNC:3613	FCGR1A	approved	2013-10	no	multi-mapping component 1 of 2 in "FCGR1A /// FCGR1C"
btm	FCGR1B	approved	HGNC:3614	FCGR1BP	approved	2013-10	no	-
btm	FCGR1C	approved	HGNC:3615	FCGR1CP	approved	2013-10	no	multi-mapping component 2 of 2 in "FCGR1A /// FCGR1C"
btm	FLJ10357	alias	HGNC:25516	ARHGEF40	alias	2013-10	no	-
btm	FLJ35409	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	FLJ37543	alias	HGNC:26744	LINC03122	alias	2013-10	no	era placement approximate: only the most recent rename is dated, and HGNC:26744 has several previous symbols (C5orf64, LINC03119)
btm	FTSJD1	previous	HGNC:25635	CMTR2	previous	2013-10	no	-
btm	FYB	approved	HGNC:4036	FYB1	approved	2013-10	no	-
btm	GGTA1	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	GLYR1	approved	HGNC:24434	GLYR1	approved	2013-10	no	multi-mapping component 1 of 2 in "GLYR1 /// SEPT6"
btm	GP1BB	approved	HGNC:4440	GP1BB	approved	2013-10	no	multi-mapping component 1 of 2 in "GP1BB /// SEPT5"
btm	GPER	previous	HGNC:4485	GPER1	previous	2013-10	no	-
btm	GPR109B	previous	HGNC:16824	HCAR3	previous	2013-10	no	-
btm	GPR114	approved	HGNC:19010	ADGRG5	approved	2013-10	no	-
btm	GPR116	approved	HGNC:19030	ADGRF5	approved	2013-10	no	-
btm	GPR133	approved	HGNC:19893	ADGRD1	approved	2013-10	no	-
btm	GPR144	approved	HGNC:18651	ADGRD2	approved	2013-10	no	-
btm	GPR56	approved	HGNC:4512	ADGRG1	approved	2013-10	no	-
btm	GPR97	approved	HGNC:13728	ADGRG3	approved	2013-10	no	-
btm	GPR98	approved	HGNC:17416	ADGRV1	approved	2013-10	no	era placement approximate: only the most recent rename is dated, and HGNC:17416 has several previous symbols (USH2C, MASS1, GPR98)
btm	GSG2	approved	HGNC:19682	HASPIN	approved	2013-10	no	-
btm	GUCY1A3	approved	HGNC:4685	GUCY1A1	approved	2013-10	no	era placement approximate: only the most recent rename is dated, and HGNC:4685 has several previous symbols (GUC1A3, GUCY1A3)
btm	H1F0	approved	HGNC:4714	H1-0	approved	2013-10	no	era placement approximate: only the most recent rename is dated, and HGNC:4714 has several previous symbols (H1FV, H1F0)
btm	H1FX	approved	HGNC:4722	H1-10	approved	2013-10	no	-
btm	H2AFX	approved	HGNC:4739	H2AX	approved	2013-10	no	-
btm	HIST1H2BK	approved	HGNC:13954	H2BC12	approved	2013-10	no	era placement approximate: only the most recent rename is dated, and HGNC:13954 has several previous symbols (H2BFT, HIST1H2BK)
btm	HIST1H3E	approved	HGNC:4769	H3C6	approved	2013-10	no	era placement approximate: only the most recent rename is dated, and HGNC:4769 has several previous symbols (H3FD, HIST1H3E)
btm	HLA-DRB1	approved	HGNC:4948	HLA-DRB1	approved	2013-10	no	multi-mapping component 1 of 3 in "HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4"
btm	HLA-DRB1	approved	HGNC:4948	HLA-DRB1	approved	2013-10	no	multi-mapping component 1 of 2 in "HLA-DRB1 /// HLA-DRB4"
btm	HLA-DRB1	approved	HGNC:4948	HLA-DRB1	approved	2013-10	no	multi-mapping component 1 of 3 in "HLA-DRB1 /// HLA-DRB4 /// HLA-DRB5"
btm	HLA-DRB3	approved	HGNC:4951	HLA-DRB3	approved	2013-10	no	multi-mapping component 2 of 3 in "HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4"
btm	HLA-DRB4	approved	HGNC:4952	HLA-DRB4	approved	2013-10	no	multi-mapping component 3 of 3 in "HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4"
btm	HLA-DRB4	approved	HGNC:4952	HLA-DRB4	approved	2013-10	no	multi-mapping component 2 of 2 in "HLA-DRB1 /// HLA-DRB4"
btm	HLA-DRB4	approved	HGNC:4952	HLA-DRB4	approved	2013-10	no	multi-mapping component 2 of 3 in "HLA-DRB1 /// HLA-DRB4 /// HLA-DRB5"
btm	HLA-DRB5	approved	HGNC:4953	HLA-DRB5	approved	2013-10	no	multi-mapping component 3 of 3 in "HLA-DRB1 /// HLA-DRB4 /// HLA-DRB5"
btm	HMHA1	approved	HGNC:17102	ARHGAP45	approved	2013-10	no	-
btm	HNRPLL	previous	HGNC:25127	HNRNPLL	previous	2013-10	no	-
btm	HSPC159	alias	HGNC:25012	LGALSL	alias	2013-10	no	-
btm	IGF2	approved	HGNC:5466	IGF2	approved	2013-10	no	multi-mapping component 1 of 2 in "IGF2 /// INS-IGF2"
btm	IGH@	previous	HGNC:5477	IGH	previous	2013-10	no	-
btm	IGJ	approved	HGNC:5713	JCHAIN	approved	2013-10	no	-
btm	IGK@	previous	HGNC:5715	IGK	previous	2013-10	no	-
btm	IGL@	previous	HGNC:5853	IGL	previous	2013-10	no	-
btm	IGLL3	previous	HGNC:5872	IGLL3P	previous	2013-10	no	-
btm	IL28RA	previous	HGNC:18584	IFNLR1	previous	2013-10	no	-
btm	IL4I1	approved	HGNC:19094	IL4I1	approved	2013-10	no	multi-mapping component 1 of 3 in "IL4I1 /// NUP62 /// SIGLEC11"
btm	IL8	approved	HGNC:6025	CXCL8	approved	2013-10	no	-
btm	INS-IGF2	approved	HGNC:33527	INS-IGF2	approved	2013-10	no	multi-mapping component 2 of 2 in "IGF2 /// INS-IGF2"
btm	ITGB1BP3	previous	HGNC:17871	NMRK2	previous	2013-10	no	-
btm	KAL1	approved	HGNC:6211	ANOS1	approved	2013-10	no	era placement approximate: only the most recent rename is dated, and HGNC:6211 has several previous symbols (KAL, ADMLX, KAL1)
btm	KIAA0101	approved	HGNC:28961	PCLAF	approved	2013-10	no	-
btm	KIAA0125	approved	HGNC:19955	FAM30A	approved	2013-10	no	era placement approximate: only the most recent rename is dated, and HGNC:19955 has several previous symbols (C14orf110, KIAA0125)
btm	KIAA0494	previous	HGNC:29051	EFCAB14	previous	2013-10	no	-
btm	KIAA0754	previous	HGNC:13664	MACF1	previous	2013-10	no	-
btm	KIAA1109	approved	HGNC:26953	BLTP1	approved	2013-10	no	-
btm	KIAA1324	approved	HGNC:29618	ELAPOR1	approved	2013-10	no	-
btm	KIAA1468	approved	HGNC:29289	RELCH	approved	2013-10	no	-
btm	KIAA1524	approved	HGNC:29302	CIP2A	approved	2013-10	no	-
btm	KIAA1598	approved	HGNC:29319	SHTN1	approved	2013-10	no	-
btm	KIAA1659	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	KIAA1919	approved	HGNC:21053	SLC60A2	approved	2013-10	no	era placement approximate: only the most recent rename is dated, and HGNC:21053 has several previous symbols (KIAA1919, MFSD4B)
btm	LARGE	approved	HGNC:6511	LARGE1	approved	2013-10	no	-
btm	LAT	approved	HGNC:18874	LAT	approved	2013-10	no	multi-mapping component 1 of 2 in "LAT /// SPNS1"
btm	LOC100128439	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC100130100	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC100130232	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC100130458	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC100131067	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC100131298	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC100132247	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC100132247	unmapped	-	-	-	2013-10	-	multi-mapping component 1 of 8 in "LOC100132247 /// LOC348162 /// LOC613037 /// LOC728888 /// LOC729602 /// LOC729978 /// NPIPL2 /// NPIPL3"; no match in snapshot 2013-10
btm	LOC100132741	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC100134159	unmapped	-	-	-	2013-10	-	multi-mapping component 2 of 2 in "CCDC144C /// LOC100134159"; no match in snapshot 2013-10
btm	LOC100271840	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC100286895	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC100286993	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC100287227	unmapped	-	-	-	2013-10	-	multi-mapping component 1 of 2 in "LOC100287227 /// LOC100292133"; no match in snapshot 2013-10
btm	LOC100287445	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC100287723	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC100288693	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC100288911	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC100289053	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC100289612	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC100290132	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC100290557	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC100291873	unmapped	-	-	-	2013-10	-	multi-mapping component 3 of 3 in "ACSM2A /// ACSM2B /// LOC100291873"; no match in snapshot 2013-10
btm	LOC100292133	unmapped	-	-	-	2013-10	-	multi-mapping component 2 of 2 in "LOC100287227 /// LOC100292133"; no match in snapshot 2013-10
btm	LOC100293440	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC100294182	unmapped	-	-	-	2013-10	-	multi-mapping component 1 of 2 in "LOC100294182 /// RPL3"; no match in snapshot 2013-10
btm	LOC100294224	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC100294317	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC100294318	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC100422737	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC144481	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC145474	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC145845	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC283663	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC284749	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC284757	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC284861	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC338739	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC339524	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC348162	unmapped	-	-	-	2013-10	-	multi-mapping component 2 of 8 in "LOC100132247 /// LOC348162 /// LOC613037 /// LOC728888 /// LOC729602 /// LOC729978 /// NPIPL2 /// NPIPL3"; no match in snapshot 2013-10
btm	LOC348162	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC404266	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC439949	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC440354	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC441666	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC51152	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC595101	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC613037	unmapped	-	-	-	2013-10	-	multi-mapping component 3 of 8 in "LOC100132247 /// LOC348162 /// LOC613037 /// LOC728888 /// LOC729602 /// LOC729978 /// NPIPL2 /// NPIPL3"; no match in snapshot 2013-10
btm	LOC613037	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC641298	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC642424	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC642426	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC642838	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC643332	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC644852	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC652493	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC728264	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC728606	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC728888	unmapped	-	-	-	2013-10	-	multi-mapping component 4 of 8 in "LOC100132247 /// LOC348162 /// LOC613037 /// LOC728888 /// LOC729602 /// LOC729978 /// NPIPL2 /// NPIPL3"; no match in snapshot 2013-10
btm	LOC728888	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC729602	unmapped	-	-	-	2013-10	-	multi-mapping component 5 of 8 in "LOC100132247 /// LOC348162 /// LOC613037 /// LOC728888 /// LOC729602 /// LOC729978 /// NPIPL2 /// NPIPL3"; no match in snapshot 2013-10
btm	LOC729602	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC729978	unmapped	-	-	-	2013-10	-	multi-mapping component 6 of 8 in "LOC100132247 /// LOC348162 /// LOC613037 /// LOC728888 /// LOC729602 /// LOC729978 /// NPIPL2 /// NPIPL3"; no match in snapshot 2013-10
btm	LOC729978	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC81691	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC90925	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC91316	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LOC96610	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	LPHN2	approved	HGNC:18582	ADGRL2	approved	2013-10	no	era placement approximate: only the most recent rename is dated, and HGNC:18582 has several previous symbols (LPHH1, LPHN2)
btm	LPHN3	approved	HGNC:20974	ADGRL3	approved	2013-10	no	-
btm	LPPR2	alias	HGNC:29566	PLPPR2	alias	2013-10	no	-
btm	LPPR4	alias	HGNC:23496	PLPPR4	alias	2013-10	no	-
btm	LRRC33	previous	HGNC:24613	NRROS	previous	2013-10	no	-
btm	LRRC37B2	previous	HGNC:25390	LRRC37BP1	previous	2013-10	no	-
btm	LY6G6D	approved	HGNC:13935	LY6G6D	approved	2013-10	no	multi-mapping component 1 of 2 in "LY6G6D /// LY6G6F"
btm	LY6G6F	approved	HGNC:13933	LY6G6F	approved	2013-10	no	multi-mapping component 2 of 2 in "LY6G6D /// LY6G6F"
btm	MARCH1	approved	HGNC:26077	MARCHF1	approved	2013-10	no	-
btm	MARCH3	approved	HGNC:28728	MARCHF3	approved	2013-10	no	-
btm	METTL7A	approved	HGNC:24550	TMT1A	approved	2013-10	no	-
btm	MGC16121	alias	HGNC:28258	MIR503HG	alias	2013-10	no	-
btm	MGC29506	alias	HGNC:30125	MZB1	alias	2013-10	no	-
btm	MGC31957	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	MGC5566	unmapped	-	-	-	2013-10	-	no match in snapshot 2013-10
btm	MLF1IP	approved	HGNC:21348	CENPU	approved	2013-10	no	-
btm	MLLT4	approved	HGNC:7137	AFDN	approved	2013-10	no	-
btm	MOSC1	approved	HGNC:26189	MTARC1	approved	2013-10	no	era placement approximate: only the most recent rename is dated, and HGNC:26189 has several previous symbols (MOSC1, MARC1)
btm	MRE11A	approved	HGNC:7230	MRE11	approved	2013-10	no	-
btm	MRVI1	approved	HGNC:7237	IRAG1	approved	2013-10	no	-
btm	MST1	approved	HGNC:7380	MST1	approved	2013-10	no	multi-mapping component 1 of 3 in "MST1 /// MST1P2 /// MST1P9"
btm	MST1P2	approved	HGNC:7383	MST1P2	approved	2013-10	no	multi-mapping component 2 of 3 in "MST1 /// MST1P2 /// MST1P9"
btm	MST1P9	unmapped	-	-	-	2013-10	-	multi-mapping component 3 of 3 in "MST1 /// MST1P2 /// MST1P9"; no match in snapshot 2013-10
btm	MST4	alias	HGNC:18174	STK26	alias	2013-10	no	-
btm	MUDENG	previous	HGNC:20192	AP5M1	previous	2013-10	no	-
